LocationNameDE,Rank,Population2019,State
Berlin,1,3669491,Berlin
Hamburg,2,1847253,Hamburg
München,3,1484226,Bayern
Köln,4,1087863,Nordrhein-Westfalen
Frankfurt am Main,5,763380,Hessen
Stuttgart,6,635911,Baden-Württemberg
Düsseldorf,7,621877,Nordrhein-Westfalen
Leipzig,8,593145,Sachsen
Dortmund,9,588250,Nordrhein-Westfalen
Essen,10,582760,Nordrhein-Westfalen
Bremen,11,567559,Bremen
Dresden,12,556780,Sachsen
Hannover,13,536925,Niedersachsen
Nürnberg,14,518370,Bayern
Duisburg,15,498686,Nordrhein-Westfalen
Bochum,16,365587,Nordrhein-Westfalen
Wuppertal,17,355100,Nordrhein-Westfalen
Bielefeld,18,334195,Nordrhein-Westfalen
Bonn,19,329673,Nordrhein-Westfalen
Münster,20,315293,Nordrhein-Westfalen
Karlsruhe,21,312060,Baden-Württemberg
Mannheim,22,310658,Baden-Württemberg
Augsburg,23,296582,Bayern
Wiesbaden,24,278474,Hessen
Mönchen­gladbach,25,261034,Nordrhein-Westfalen
Gelsenkirchen,26,259645,Nordrhein-Westfalen
Braunschweig,27,249406,Niedersachsen
Aachen,28,248960,Nordrhein-Westfalen
Kiel,29,246794,Schleswig-Holstein
Chemnitz,30,246334,Sachsen
Halle (Saale),31,238762,Sachsen-Anhalt
Magdeburg,32,237565,Sachsen-Anhalt
Freiburg im Breisgau,33,231195,Baden-Württemberg
Krefeld 7,34,227417,Nordrhein-Westfalen
Mainz,35,218578,Rheinland-Pfalz
Lübeck,36,216530,Schleswig-Holstein
Erfurt,37,213981,Thüringen
Oberhausen,38,210764,Nordrhein-Westfalen
Rostock,39,209191,Mecklenburg-Vorpommern
Kassel,40,202137,Hessen
Hagen,41,188686,Nordrhein-Westfalen
Saarbrücken,42,180374,Saarland
Potsdam,43,180334,Brandenburg
Hamm,44,179916,Nordrhein-Westfalen
Ludwigshafen am Rhein,45,172253,Rheinland-Pfalz
Mülheim an der Ruhr,46,170632,Nordrhein-Westfalen
Oldenburg (Oldb),47,169077,Niedersachsen
Osnabrück,48,165251,Niedersachsen
Leverkusen,49,163729,Nordrhein-Westfalen
Heidelberg,50,161485,Baden-Württemberg
Darmstadt,51,159878,Hessen
Solingen,52,159245,Nordrhein-Westfalen
Herne,53,156449,Nordrhein-Westfalen
Neuss,54,153896,Nordrhein-Westfalen
Regensburg,55,153094,Bayern
Paderborn,56,151633,Nordrhein-Westfalen
Ingolstadt,57,137392,Bayern
Offenbach am Main,58,130280,Hessen
Fürth,59,128497,Bayern
Würzburg,60,127934,Bayern
Ulm,61,126790,Baden-Württemberg
Heilbronn,62,126592,Baden-Württemberg
Pforzheim,63,125957,Baden-Württemberg
Wolfsburg,64,124371,Niedersachsen
Göttingen,65,118911,Niedersachsen
Bottrop,66,117565,Nordrhein-Westfalen
Reutlingen,67,115865,Baden-Württemberg
Koblenz,68,114052,Rheinland-Pfalz
Bremer­haven,69,113643,Bremen
Erlangen,70,112528,Bayern
Bergisch Gladbach,71,111846,Nordrhein-Westfalen
Trier,72,111528,Rheinland-Pfalz
Recklinghausen,73,111397,Nordrhein-Westfalen
Jena,74,111343,Thüringen
Remscheid,75,111338,Nordrhein-Westfalen
Salzgitter,76,104291,Niedersachsen
Moers,77,103902,Nordrhein-Westfalen
Siegen,78,102770,Nordrhein-Westfalen
Hildesheim,79,101693,Niedersachsen
Gütersloh,80,100861,Nordrhein-Westfalen
Kaiserslautern,81,100030,Rheinland-Pfalz
Schwerin,,95653,Mecklenburg-Vorpommern